No,UID,DiffX,DiffY,DiffZ,Angle
269,A into Plate,0.113379,-0.783929,89.206856,0
275,A into Plate,-9.916643,-0.781414,80.049446,10
280,A into Plate,-19.952059,-0.762056,70.030563,20
286,A into Plate,-29.991766,-0.732887,59.998375,30
292,A into Plate,-40.020718,-0.686437,49.966904,40
301,A into Plate,-50.053226,-0.631044,39.939503,50
305,A into Plate,-60.080803,-0.564829,29.91403,60
311,A into Plate,-70.101433,-0.489309,19.891178,70
317,A into Plate,-80.108261,-0.40856,9.883083,80
325,A into Plate,-89.65921,-0.32837,-0.118938,90
336,A into Plate,-79.897964,-0.242391,-10.105175,100
343,A into Plate,-69.934219,-0.159807,-20.068705,110
349,A into Plate,-59.992241,-0.086792,-30.015268,120
355,A into Plate,-50.047386,-0.012184,-39.957218,130
364,A into Plate,-40.121193,0.050713,-49.887466,140
370,A into Plate,-30.186968,0.09913,-59.820175,150
381,A into Plate,-20.240723,0.137823,-69.762672,160
388,A into Plate,-10.280456,0.160785,-79.717705,170
397,A into Plate,-0.300278,0.172222,-89.650734,180
403,A into Plate,9.68733,0.16853,-80.311905,190
413,A into Plate,19.694853,0.152875,-70.303459,200
422,A into Plate,29.707932,0.122783,-60.289593,210
429,A into Plate,39.735096,0.077498,-50.269585,220
437,A into Plate,49.759987,0.020731,-40.239223,230
444,A into Plate,59.79174,-0.045088,-30.211637,240
452,A into Plate,69.817947,-0.117686,-20.180239,250
457,A into Plate,79.842278,-0.196007,-10.156224,260
465,A into Plate,89.689095,-0.277361,-0.13856,270
471,A into Plate,80.114983,-0.359923,9.871619,280
481,A into Plate,70.12059,-0.442156,19.867479,290
488,A into Plate,60.126236,-0.520664,29.85791,300
495,A into Plate,50.140263,-0.588702,39.841991,310
502,A into Plate,40.150757,-0.649017,49.835278,320
509,A into Plate,30.157328,-0.703641,59.826939,330
516,A into Plate,20.157663,-0.742017,69.82695,340
523,A into Plate,10.138432,-0.767274,79.827522,350
535,A into Plate,0.115082,-0.777601,89.210945,360
758,A parallel to plate,0.077816,-0.752289,89.243843,0
769,A parallel to plate,0.093142,9.272331,80.71933,10
779,A parallel to plate,0.0998,19.3169,70.676987,20
786,A parallel to plate,0.098152,29.373865,60.621037,30
795,A parallel to plate,0.092878,39.437298,50.555496,40
801,A parallel to plate,0.077926,49.514442,40.478382,50
807,A parallel to plate,0.059755,59.59399,30.394365,60
813,A parallel to plate,0.038925,69.68631,20.310652,70
819,A parallel to plate,0.008844,79.771515,10.224891,80
829,A parallel to plate,-0.020182,89.846321,0.14636,90
836,A parallel to plate,-0.052635,80.077301,-9.919219,100
842,A parallel to plate,-0.082463,70.035088,-19.963156,110
848,A parallel to plate,-0.118773,60.013706,-29.987637,120
855,A parallel to plate,-0.149359,50.011341,-39.985733,130
862,A parallel to plate,-0.179857,40.027405,-49.973118,140
869,A parallel to plate,-0.205411,30.0553,-59.94482,150
884,A parallel to plate,-0.227966,20.083923,-69.915276,160
891,A parallel to plate,-0.249159,10.11441,-79.883827,170
897,A parallel to plate,-0.271813,0.142657,-89.696915,180
904,A parallel to plate,-0.283096,-9.830705,-80.17115,190
912,A parallel to plate,-0.292709,-19.803612,-70.203163,200
919,A parallel to plate,-0.297334,-29.775688,-60.230019,210
926,A parallel to plate,-0.293445,-39.744823,-50.2598,220
932,A parallel to plate,-0.288655,-49.713562,-40.287899,230
938,A parallel to plate,-0.275999,-59.686661,-30.314297,240
945,A parallel to plate,-0.256992,-69.662987,-20.338762,250
951,A parallel to plate,-0.23202,-79.639572,-10.361422,260
959,A parallel to plate,-0.20718,-89.564346,-0.39119,270
966,A parallel to plate,-0.173551,-80.419624,9.573595,280
972,A parallel to plate,-0.143053,-70.471825,19.526281,290
979,A parallel to plate,-0.102448,-60.526474,29.472141,300
985,A parallel to plate,-0.069225,-50.589607,39.410065,310
992,A parallel to plate,-0.031091,-40.651459,49.347633,320
998,A parallel to plate,0.001505,-30.705153,59.295788,330
1006,A parallel to plate,0.029015,-20.73942,69.262512,340
1015,A parallel to plate,0.058293,-10.755686,79.244751,350
1021,A parallel to plate,0.0802,-0.752673,89.244934,360
1622,High Precision,0.103612,-0.923357,89.072769,0
1626,High Precision,0.106512,-0.918237,89.074944,0.002777778
1632,High Precision,0.10459,-0.913645,89.078468,0.005555556
1635,High Precision,0.10392,-0.911635,89.080544,0.008333333
1638,High Precision,0.104854,-0.909031,89.084946,0.011111111
1640,High Precision,0.100701,-0.911239,89.085358,0.013888889
1645,High Precision,0.106095,-0.904197,89.090157,0.016666667
1651,High Precision,0.104623,-0.902802,89.092804,0.019444444
1655,High Precision,0.104238,-0.900165,89.092171,0.022222222
1659,High Precision,0.104447,-0.896495,89.09697,0.025
1664,High Precision,0.102008,-0.893793,89.098373,0.027777778
1668,High Precision,0.103228,-0.892057,89.104057,0.030555556
1671,High Precision,0.104315,-0.887706,89.104942,0.033333333
1675,High Precision,0.101536,-0.885103,89.107689,0.036111111
1678,High Precision,0.10582,-0.883773,89.110947,0.038888889
1681,High Precision,0.104854,-0.880653,89.113892,0.041666667
1684,High Precision,0.104271,-0.875544,89.116089,0.044444444
1690,High Precision,0.101184,-0.872281,89.122269,0.047222222
1693,High Precision,0.099767,-0.869996,89.122284,0.05
1698,High Precision,0.101404,-0.869897,89.123932,0.052777778
1703,High Precision,0.103689,-0.865745,89.129959,0.055555556
1706,High Precision,0.103348,-0.864437,89.132538,0.058333333
1709,High Precision,0.102612,-0.859504,89.13266,0.061111111
1712,High Precision,0.101393,-0.855879,89.134491,0.063888889
1716,High Precision,0.10593,-0.85556,89.139297,0.066666667
1720,High Precision,0.101711,-0.852748,89.139359,0.069444444
1724,High Precision,0.104249,-0.84988,89.144455,0.072222222
1727,High Precision,0.105513,-0.847793,89.145691,0.075
1730,High Precision,0.106842,-0.843014,89.149048,0.077777778
1733,High Precision,0.102678,-0.838553,89.152359,0.080555556
1736,High Precision,0.102513,-0.838685,89.160706,0.083333333
555,A into Plate Return,0.113137,-0.779282,89.210968,360
567,A into Plate Return,30.151791,-0.701466,59.838894,330
577,A into Plate Return,60.124203,-0.518895,29.863211,300
586,A into Plate Return,89.698875,-0.277932,-0.136055,270
599,A into Plate Return,59.790264,-0.044648,-30.209616,240
608,A into Plate Return,29.708858,0.121432,-60.290512,210
616,A into Plate Return,-0.309661,0.174045,-89.649376,180
625,A into Plate Return,-30.185089,0.102008,-59.821728,150
632,A into Plate Return,-59.982868,-0.080266,-30.018225,120
644,A into Plate Return,-89.660034,-0.32558,-0.118125,90
652,A into Plate Return,-60.077564,-0.559775,29.914175,60
661,A into Plate Return,-29.986525,-0.728558,60.000671,30
672,A into Plate Return,0.119498,-0.778568,89.213997,0
1256,A Parallel Return,0.080848,-0.74874,89.2463,360
1266,A Parallel Return,0.004647,-30.703587,59.296135,330
1283,A Parallel Return,-0.102272,-60.527954,29.473177,300
1297,A Parallel Return,-0.203687,-89.566055,-0.386049,270
1308,A Parallel Return,-0.278844,-59.689625,-30.317064,240
1316,A Parallel Return,-0.294247,-29.773724,-60.227348,210
1329,A Parallel Return,-0.271241,0.144196,-89.699539,180
1337,A Parallel Return,-0.20618,30.05846,-59.9436,150
1355,A Parallel Return,-0.119498,60.017139,-29.980995,120
1364,A Parallel Return,-0.020841,89.845116,0.147898,90
1371,A Parallel Return,0.061941,59.594353,30.398195,60
1379,A Parallel Return,0.098855,29.373981,60.618824,30
1386,A Parallel Return,0.080288,-0.749663,89.246857,0
1528,Skewed,1.274469,-1.021948,88.361801,360
1520,Skewed,-7.360765,-29.532032,59.384926,330
1514,Skewed,-14.126849,-56.612949,29.553459,300
1504,Skewed,-17.171417,-72.837456,-0.294983,270
1495,Skewed,-15.535555,-55.288174,-30.173363,240
1488,Skewed,-9.748649,-28.042021,-60.027145,210
1478,Skewed,-1.481133,0.423885,-88.465546,180
1470,Skewed,7.16153,28.901857,-60.057877,150
1461,Skewed,14.007727,56.177448,-30.08013,120
1455,Skewed,17.132189,72.858467,0.056426,90
1445,Skewed,15.494364,55.203987,30.274611,60
1437,Skewed,9.619831,27.649328,60.44302,30
1425,Skewed,1.267163,-1.020663,88.368736,0
165,22 into,0.254564,-0.737644,89.219681,0
170,22 into,-29.877285,-0.596151,60.117207,30
177,22 into,-59.925667,-0.416602,30.071844,60
186,22 into,-89.750305,-0.240502,0.07608,90
193,22 into,-60.178673,-0.129792,-29.829458,120
202,22 into,-30.371822,-0.109039,-59.634071,150
212,22 into,-0.538462,-0.183054,-89.43821,180
219,22 into,29.374777,-0.332985,-60.623444,210
227,22 into,59.33345,-0.511952,-30.662416,240
234,22 into,89.070419,-0.673923,-0.641118,270
241,22 into,60.544636,-0.780359,29.438692,300
247,22 into,30.424713,-0.804771,59.559292,330
254,22 into,0.254586,-0.736062,89.221161,360
267,22 parallel,0.234053,-0.726427,89.236267,0
275,22 parallel,0.438333,29.445957,60.546169,30
284,22 parallel,0.473093,59.710476,30.276426,60
291,22 parallel,0.33349,89.655342,-0.06795,90
300,22 parallel,0.071895,59.682926,-30.315193,120
306,22 parallel,-0.236019,29.678108,-60.321514,150
313,22 parallel,-0.515555,-0.192393,-89.454758,180
323,22 parallel,-0.708102,-29.990313,-60.002594,210
328,22 parallel,-0.768812,-59.723103,-30.27219,240
334,22 parallel,-0.662564,-89.176826,-0.495176,270
341,22 parallel,-0.414459,-60.669601,29.325865,300
348,22 parallel,-0.081815,-30.771795,59.228638,330
356,22 parallel,0.237019,-0.72557,89.238037,360
377,22 skewed,0.659388,-0.791862,88.968948,0
392,22 skewed,8.566517,28.107388,60.371758,30
398,22 skewed,14.246807,56.012882,30.126047,60
406,22 skewed,16.010635,73.978317,-0.223374,90
411,22 skewed,13.294666,56.16061,-30.477331,120
418,22 skewed,6.905388,28.01737,-60.998833,150
424,22 skewed,-0.988187,-0.126057,-89.010834,180
436,22 skewed,-8.850572,-29.119062,-59.316746,210
442,22 skewed,-14.268818,-56.043625,-30.089764,240
450,22 skewed,-16.044243,-73.956108,-0.334797,270
458,22 skewed,-13.490151,-57.010906,29.471037,300
465,22 skewed,-7.358006,-29.55637,59.361813,330
470,22 skewed,0.67511,-0.809407,88.94635,360
